sample,stamp_sec,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,roll_deg,pitch_deg,yaw_deg
1,1779213634.305741,68.940694,-130.965286,9.068929,0.200178273,0.235300234,-0.049591953,0.949791081,23.802992,27.828500,0.000000
2,1779213634.305741,68.940694,-130.965286,9.068929,0.200178273,0.235300234,-0.049591953,0.949791081,23.802992,27.828500,0.000000
3,1779213634.305741,68.940694,-130.965286,9.068929,0.200178273,0.235300234,-0.049591953,0.949791081,23.802992,27.828500,0.000000
4,1779213634.316987,68.940694,-130.965286,9.068929,0.200178273,0.235300234,-0.049591953,0.949791081,23.802992,27.828500,0.000000
5,1779213634.316987,68.940694,-130.965286,9.068929,0.200178273,0.235300234,-0.049591953,0.949791081,23.802992,27.828500,0.000000
6,1779213647.267503,68.940694,-130.965286,9.068929,0.200178273,0.235300234,-0.049591953,0.949791081,23.802992,27.828500,0.000000
