sample,stamp_sec,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,roll_deg,pitch_deg,yaw_deg
1,1779213656.482821,68.940694,-130.965286,9.068929,0.200178273,0.235300234,-0.049591953,0.949791081,23.802992,27.828500,0.000000
2,1779213696.889102,62.006885,-116.984624,11.080164,-0.025512744,0.105552466,0.002708963,0.994082712,-2.940302,12.122000,-0.000000
3,1779213711.551658,64.580263,-129.430254,11.342934,0.183069081,0.149249706,-0.028130419,0.971297543,21.347654,17.471500,0.000000
4,1779213726.630412,61.936693,-125.218163,10.015068,0.261980763,0.174014314,-0.048087194,0.948036244,30.895258,20.802000,-0.000000
5,1779213744.504795,61.028592,-109.089069,10.686765,-0.007182228,0.160019088,0.001164328,0.987087104,-0.833775,18.416500,-0.000000
6,1779213754.888751,68.643892,-105.714428,5.253144,-0.049759998,0.311897869,0.016359774,0.948670659,-6.005093,36.399000,0.000000
7,1779213785.334532,73.857412,-110.914676,2.214400,0.015637587,0.421764454,-0.007275320,0.906541384,1.976477,49.900000,-0.000000
8,1779213805.623653,73.324101,-119.175870,2.514477,0.141589726,0.416717962,-0.065886783,0.895520754,17.969187,49.908500,0.000000
9,1779213826.439943,66.623438,-124.817237,11.076377,0.081682559,0.175879046,-0.014645873,0.980907753,9.520351,20.330500,-0.000000
10,1779213837.791829,77.027722,-123.474041,4.691095,0.048953603,0.371178834,-0.019600117,0.927062918,6.045398,43.640500,0.000000
11,1779213846.313095,78.317434,-132.485668,3.009489,0.182898764,0.391103843,-0.079615861,0.898469332,23.012628,47.047000,0.000000
12,1779213857.377093,58.731116,-97.245076,7.927519,-0.070673089,0.201572456,0.014583924,0.976811737,-8.276367,23.319500,-0.000000
13,1779213891.966128,67.521880,-97.766797,2.229874,-0.067813606,0.380112259,0.027956636,0.922027338,-8.412874,44.808500,0.000000
14,1779213904.168966,48.503132,-109.904854,13.518293,0.107508580,-0.011547578,0.001248786,0.994136308,12.344268,-1.331000,-0.000000
