sample,ros_secs,ros_nsecs,ros_t_sec,rob_tx_mm,rob_ty_mm,rob_tz_mm,rob_qx,rob_qy,rob_qz,rob_qw,rob_roll_deg,rob_pitch_deg,rob_yaw_deg,brd_tx_m,brd_ty_m,brd_tz_m,brd_roll_deg,brd_pitch_deg,brd_yaw_deg
1,1775337123,879314899,1775337123.879315,14.3001,-97.0903,-5.4032,0.107356,0.195559,-0.021543,0.97456,12.5726,22.693,-0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
2,1775337138,813390254,1775337138.81339,38.2211,-96.8521,-5.3012,0.107132,0.195564,-0.021498,0.974585,12.5462,22.693,-0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
3,1775337172,477020978,1775337172.477021,14.7451,-96.4541,-5.3012,0.107127,0.195564,-0.021496,0.974585,12.5456,22.693,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
4,1775337206,173059701,1775337206.17306,38.6391,-96.4541,-5.3012,0.107127,0.195564,-0.021496,0.974585,12.5456,22.693,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
5,1775337223,868119955,1775337223.86812,15.0271,-96.8401,18.3598,0.107127,0.195564,-0.021496,0.974585,12.5456,22.693,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
6,1775337249,329479932,1775337249.32948,38.2191,-96.8451,18.6918,0.107127,0.195564,-0.021496,0.974585,12.5456,22.693,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
7,1775337282,343150138,1775337282.34315,14.7451,-96.4461,18.6938,0.107127,0.195564,-0.021496,0.974585,12.5456,22.693,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
8,1775337315,715734481,1775337315.715734,38.6391,-96.4461,18.6938,0.107127,0.195564,-0.021496,0.974585,12.5456,22.693,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
9,1775337325,342535734,1775337325.342536,38.6391,-96.4461,18.6938,0.107127,0.195564,-0.021496,0.974585,12.5456,22.693,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
10,1775337337,728069543,1775337337.72807,15.0291,-96.8401,-4.9572,0.107127,0.195564,-0.021496,0.974585,12.5456,22.693,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
11,1775337355,940960884,1775337355.940961,14.6651,-97.2824,-5.3686,0.187524,0.19311,-0.037629,0.962355,22.053,22.693,-0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
12,1775337366,907165288,1775337366.907165,14.7031,-96.8529,-5.278,0.025988,0.196673,-0.005215,0.980111,3.0377,22.693,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
13,1775337378,296826362,1775337378.296826,14.676,-96.8389,-5.3241,0.100828,0.279076,-0.02948,0.954506,12.06,32.5955,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
14,1775337388,583032846,1775337388.583033,14.705,-96.8443,-5.3141,0.107175,0.113926,-0.012363,0.987614,12.3869,13.1605,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
15,1775337397,411865234,1775337397.411865,14.6567,-97.2988,-5.3465,0.185412,0.272873,-0.053681,0.942487,22.2589,32.294,-0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
16,1775337409,696435689,1775337409.696436,14.6992,-97.3036,-5.3271,0.192273,0.112152,-0.022124,0.974661,22.3191,13.128,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
17,1775337421,47074317,1775337421.047074,14.6991,-96.8499,-5.2896,0.025429,0.281033,-0.007449,0.959332,3.0368,32.6555,-0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
18,1775337429,486203193,1775337429.486203,14.7081,-96.8469,-5.3028,0.021969,0.114775,-0.002539,0.993145,2.5345,13.1845,0.0,-0.013829,-0.0529,0.101538,30.2278,-7.5751,-3.5805
