epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
32,190.241,0.64676,1.19601,0.73732,0.94269,0,0.87964,0.81549,0.90032,0.77835,0.87964,0.81549,0.90032,0.38348,0.62894,1.33065,1.04903,0.98165,0,0.000643795,0.000643795,0.000643795
33,194.292,0.67196,1.21476,0.74431,0.96526,0,0.83801,0.82,0.89304,0.74402,0.83801,0.82,0.89304,0.3716,0.73761,1.3472,1.14399,1.02667,0,0.000610789,0.000610789,0.000610789
34,198.415,0.63488,1.14785,0.69023,0.93696,0,0.89349,0.87,0.88065,0.77576,0.88515,0.86167,0.87024,0.37278,0.58707,1.21465,0.83363,0.9933,0,0.000577782,0.000577782,0.000577782
35,202.408,0.64812,1.19098,0.72858,0.97531,0,0.88075,0.87,0.85907,0.74732,0.87242,0.86167,0.84865,0.37562,0.55018,1.22915,0.76366,0.96907,0,0.000544776,0.000544776,0.000544776
36,206.509,0.61728,1.1353,0.69787,0.94935,0,0.96189,0.8,0.89352,0.70101,0.96189,0.8,0.89352,0.33315,0.70513,1.50068,0.85352,1.00433,0,0.000511769,0.000511769,0.000511769
37,210.595,0.59467,1.11685,0.65585,0.92991,0,0.76966,0.98,0.89912,0.69098,0.76966,0.98,0.89912,0.34275,0.71213,1.41461,0.82728,0.99817,0,0.000478762,0.000478762,0.000478762
38,214.745,0.62248,1.16595,0.68654,0.93688,0,0.98688,0.8,0.90001,0.74003,0.98688,0.8,0.90001,0.42859,0.69319,1.26084,0.73108,0.99319,0,0.000445756,0.000445756,0.000445756
39,218.825,0.62198,1.17181,0.65444,0.92368,0,0.88055,0.91418,0.91326,0.7615,0.88055,0.91418,0.91326,0.45038,0.65671,1.24252,0.69506,0.97468,0,0.000412749,0.000412749,0.000412749
40,223.152,0.61571,1.10421,0.66649,0.94807,0,0.95107,0.89,0.89048,0.80899,0.95107,0.89,0.89048,0.44881,0.49771,1.18528,0.59674,0.92369,0,0.000379743,0.000379743,0.000379743
41,230.545,0.636,1.07913,1.07573,0.94761,0,0.97141,0.9,0.89476,0.81097,0.97141,0.9,0.89476,0.46437,0.51477,1.21554,0.61498,0.92921,0,0.000346736,0.000346736,0.000346736
42,234.822,0.56714,1.03979,0.96612,0.92909,0,1,0.87,0.865,0.75396,1,0.87,0.865,0.41774,0.61993,1.30355,0.65205,0.96969,0,0.000313729,0.000313729,0.000313729
43,238.853,0.56081,1.04851,0.92926,0.90516,0,1,0.8,0.795,0.70791,1,0.8,0.795,0.37547,0.61147,1.23694,0.69931,0.97008,0,0.000280723,0.000280723,0.000280723
44,242.842,0.56888,1.02007,1.02666,0.89572,0,1,0.8,0.795,0.7266,1,0.8,0.795,0.37101,0.55153,1.15225,0.76495,0.94506,0,0.000247716,0.000247716,0.000247716
45,246.758,0.56385,0.99551,0.96273,0.91495,0,1,0.8,0.795,0.72534,1,0.8,0.795,0.35233,0.523,1.15317,0.74373,0.9349,0,0.00021471,0.00021471,0.00021471
46,250.79,0.56446,0.96333,0.90993,0.90208,0,1,0.8,0.795,0.73822,1,0.8,0.795,0.37158,0.51971,1.19477,0.69223,0.94329,0,0.000181703,0.000181703,0.000181703
47,254.697,0.51261,0.99142,0.88545,0.89699,0,1,0.8,0.795,0.73583,1,0.8,0.795,0.37025,0.52401,1.23365,0.6788,0.94864,0,0.000148696,0.000148696,0.000148696
48,258.659,0.54711,0.9723,0.84934,0.8991,0,0.94595,0.83,0.82274,0.75427,0.94595,0.83,0.82274,0.37861,0.53924,1.27757,0.69744,0.9498,0,0.00011569,0.00011569,0.00011569
49,262.581,0.54772,0.95601,0.83092,0.91055,0,0.9375,0.85,0.84148,0.76558,0.9375,0.85,0.84148,0.38969,0.53635,1.27942,0.7023,0.94634,0,8.26832e-05,8.26832e-05,8.26832e-05
50,266.558,0.51362,0.93065,0.80698,0.88153,0,0.91304,0.88,0.86873,0.78469,0.91304,0.88,0.86873,0.41028,0.53987,1.28211,0.70031,0.94603,0,4.96766e-05,4.96766e-05,4.96766e-05
